scenario missing freq.st1 freq.st2 freq.st3 freq.st4 freq.st5 Theta.FuLi.Syn Theta.FuLi.Nsyn Theta.Watt.Syn Theta.Watt.Nsyn Theta.Taji.Syn Theta.Taji.Nsyn Theta.FayWu.Syn Theta.FayWu.Nsyn Theta.vhf.Syn Theta.vhf.Nsyn Div.Syn Div.Nsyn
SLiM_04_sum.txt_boot_004.txt 0 0.02 0.2188 0.34 0.66 0.86 53791 77100 38594.7923665984 49967.5685965278 30384.9763265349 37438.4718367442 24409.0644897989 36708.4669387758 24301.3151907524 49906.0764291633 114920 274848
SLiM_04_sum.txt_boot_004.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53189 75475 38203.3489709924 49309.9926650214 30373.1246391459 37438.0756018763 24439.8351555182 36569.133664298 24489.9519431452 48925.6223562909 114968 274993
SLiM_04_sum.txt_boot_004.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52352 72806 37573.973608515 48206.8608558274 30366.1450851666 37452.77163629 24478.1024567587 36343.7737933401 24337.2448777218 47575.0406193909 115075 275280
SLiM_04_sum.txt_boot_004.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50117 66721 36126.1178682439 45754.359822451 30403.1417028234 37410.2453323401 24477.7080245005 35735.3374317899 23779.032983833 43662.459805522 115472 276089
SLiM_04_sum.txt_boot_004.txt 0.75 0.0829 0.3015 0.361 0.639 0.7836 44407 56484 33647.5087519701 42056.0256479757 30326.4585500315 37464.3119965633 24797.1119935075 34690.4398404567 24327.9223504128 38076.6120309442 116489 278219
SLiM_04_sum.txt_boot_004.txt 0.9 0.2045 0.381 0.4015 0.5985 0.6882 35445 43427 30144.5653199503 37357.039807632 29286.636865909 36174.1983044717 25634.4979992235 33369.3785464542 24695.6853745354 33468.0772711435 121458 285356
SLiM_04_sum.txt_boot_005.txt 0 0.02 0.2188 0.34 0.66 0.86 53941 76838 38700.1682010054 50048.3865034247 30470.4963265346 37504.8530612336 24430.5648979621 36962.5346938778 24198.4042956774 51880.8649840453 115733 275635
SLiM_04_sum.txt_boot_005.txt 0.1 0.0223 0.2237 0.3408 0.6592 0.8559 53524 75432 38331.0316215308 49395.59128475 30470.3163310698 37505.4895197862 24406.3461212317 36799.47098101 23996.6438845637 50520.7638857708 115796 275802
SLiM_04_sum.txt_boot_005.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52827 72637 37737.0445112117 48281.8367220517 30473.5236053996 37512.5768889566 24451.0673834474 36431.6431436538 24093.4333187796 48246.7979718957 115904 276138
SLiM_04_sum.txt_boot_005.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50276 67182 36267.4997481258 45972.9092991085 30480.9510002793 37517.0833318915 24555.9803986506 35771.962487849 23816.9579335082 43949.5938180824 116255 276985
SLiM_04_sum.txt_boot_005.txt 0.75 0.0829 0.3016 0.361 0.639 0.7835 44706 56711 33795.8828300795 42120.0169024703 30482.6639371661 37452.4480545503 25009.4752335092 34712.1151135292 24116.043420527 38289.7156219631 117305 279190
SLiM_04_sum.txt_boot_005.txt 0.9 0.2042 0.3809 0.4014 0.5986 0.6884 35593 43478 30281.5823861917 37505.050107977 29449.8709873436 36334.6481379712 25559.2649766907 33531.675482851 24333.2069684061 33546.6663519967 122134 286328
SLiM_04_sum.txt_boot_006.txt 0 0.02 0.2188 0.34 0.66 0.86 54524 76945 38895.2920977675 50015.5681821157 30611.1281632696 37449.6465306212 24434.7493877578 36950.8024489796 24147.0019990148 50753.7225270684 114734 273965
SLiM_04_sum.txt_boot_006.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53915 75724 38514.2549141618 49400.7686768122 30606.599350115 37439.9765449912 24419.622624949 36822.5317292849 23953.7973032533 49837.1612240497 114796 274114
SLiM_04_sum.txt_boot_006.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 53005 72893 37864.159214881 48253.0350885159 30604.5642553794 37429.5953260526 24439.5641810783 36618.2345662981 23824.8805805005 48180.2238720662 114906 274374
SLiM_04_sum.txt_boot_006.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50480 66530 36407.7497100171 45783.5185520463 30596.767941833 37398.6003228245 24449.4368404361 35980.768207918 23481.3672133038 44438.5425198814 115300 275190
SLiM_04_sum.txt_boot_006.txt 0.75 0.0828 0.3015 0.3609 0.6391 0.7836 45041 56671 33952.2990590844 42145.6204921446 30585.9711243407 37461.9491659177 24948.4668495238 34789.6368943907 24004.8063616781 38490.5988765135 116322 277376
SLiM_04_sum.txt_boot_006.txt 0.9 0.2049 0.3812 0.4016 0.5984 0.6879 35937 43204 30447.4878393066 37318.7382049138 29554.8692335418 36198.2363053597 25737.7552863809 33350.5569236326 24767.4165062633 33262.0673908527 121321 284729
SLiM_04_sum.txt_boot_007.txt 0 0.02 0.2188 0.34 0.66 0.86 54055 77073 38488.0770088726 50089.9117263054 30195.3910204115 37544.8955102137 23954.241632656 36998.7371428571 23302.3248096935 52257.7185421666 115775 275674
SLiM_04_sum.txt_boot_007.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53463 75827 38117.3442894698 49447.596901815 30201.9402333162 37538.5047167224 23963.1813664605 36802.8814258677 23145.0913395413 50882.3996302337 115833 275854
SLiM_04_sum.txt_boot_007.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52677 73008 37484.7395294179 48354.9998348964 30201.1395284295 37527.9605026313 23990.0675443905 36545.3979956508 22967.9918783152 48967.3674252996 115939 276148
SLiM_04_sum.txt_boot_007.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50386 67036 36047.8788722569 45914.037627675 30177.0028900206 37540.6520556788 24110.9942850409 35790.3181989636 23036.2781492605 44181.6934808538 116275 277017
SLiM_04_sum.txt_boot_007.txt 0.75 0.0829 0.3016 0.361 0.639 0.7835 44682 56212 33539.6820151437 42045.035386301 30229.5954512865 37490.6124401762 24464.0874510153 34634.4762722846 23247.9298380634 38080.2842899503 117296 279250
SLiM_04_sum.txt_boot_007.txt 0.9 0.2039 0.3807 0.4013 0.5987 0.6886 35433 43364 29978.5196582058 37395.8872966657 29107.9418775642 36239.8878871113 25242.599214675 33293.4189227446 24125.676573744 33232.5353552257 122073 286596
SLiM_04_sum.txt_boot_008.txt 0 0.02 0.2188 0.34 0.66 0.86 54557 77463 38768.4838902608 50139.250835212 30560.9371428609 37561.9567347036 24479.3893877579 37013.2677551019 23713.7090523895 51372.5960551459 115291 274283
SLiM_04_sum.txt_boot_008.txt 0.1 0.0223 0.2236 0.3408 0.6592 0.856 53952 75835 38370.6696851338 49463.3317766112 30554.0542065934 37553.3431790399 24464.8035150153 36852.5351116038 23422.5958120747 50159.7633917936 115361 274446
SLiM_04_sum.txt_boot_008.txt 0.25 0.0268 0.2325 0.3423 0.6577 0.8485 52949 73241 37737.2758688224 48332.6739510766 30559.0121893301 37549.7217122653 24516.5418366263 36551.0772556224 23522.3901183341 48249.6985886402 115456 274765
SLiM_04_sum.txt_boot_008.txt 0.5 0.0405 0.2546 0.3468 0.6532 0.8291 50340 67364 36283.5034064029 45978.0660195083 30569.5527344134 37575.6097131063 24635.8417856102 35911.7544721787 23693.6089448645 44183.2049111987 115779 275593
SLiM_04_sum.txt_boot_008.txt 0.75 0.0831 0.3017 0.361 0.639 0.7834 44602 56449 33822.3924893924 42169.2611572143 30617.5173681302 37564.5062784098 25057.5240080667 34657.0281046809 23937.9236095586 37995.2079088083 116833 277746
SLiM_04_sum.txt_boot_008.txt 0.9 0.205 0.3813 0.4017 0.5983 0.6879 35945 43688 30552.7963624851 37604.6487277934 29678.9068181792 36439.5456776866 25923.4560633815 33445.5881048696 24895.8527318393 33322.0438325551 121783 285099
SLiM_04_sum.txt_boot_009.txt 0 0.02 0.2188 0.34 0.66 0.86 54082 76694 38565.3228535863 49855.4951455271 30442.6081632691 37252.3436734788 24722.65714286 36766.3093877552 25172.5885662472 50724.2096054341 115595 274347
